Item,Title,csv
bfeed,data from Section 1.14,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/bfeed.csv
bmt,data from Section 1.3,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/bmt.csv
bnct,"data from Exercise 7.7, p223",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/bnct.csv
btrial,data from Section 1.5,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/btrial.csv
burn,data from Section 1.6,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/burn.csv
channing,data from Section 1.16,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/channing.csv
drug6mp,data from Section 1.2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/drug6mp.csv
drughiv,"data from Exercise 7.6, p222",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/drughiv.csv
hodg,data from Section 1.10,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/hodg.csv
kidney,data from Section 1.4,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/kidney.csv
kidrecurr,Data on 38 individuals using a kidney dialysis machine,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/kidrecurr.csv
kidtran,data from Section 1.7,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/kidtran.csv
larynx,data from Section 1.8,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/larynx.csv
lung,"data from Exercise 4.4, p120",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/lung.csv
pneumon,data from Section 1.13,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/pneumon.csv
psych,data from Section 1.15,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/psych.csv
rats,"data from Exercise 7.13, p225",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/rats.csv
std,data from Section 1.12,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/std.csv
stddiag,"data from Exercise 5.6, p146",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/stddiag.csv
tongue,data from Section 1.11,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/tongue.csv
twins,"data from Exercise 7.14, p225",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/twins.csv
Animals2,Brain and Body Weights for 65 Species of Land Animals,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/Animals2.csv
CrohnD,Crohn's Disease Adverse Events Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/CrohnD.csv
NOxEmissions,NOx Air Pollution Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/NOxEmissions.csv
SiegelsEx,Siegel's Exact Fit Example Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/SiegelsEx.csv
aircraft,Aircraft Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/aircraft.csv
airmay,Air Quality Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/airmay.csv
alcohol,Alcohol Solubility in Water Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/alcohol.csv
ambientNOxCH,Daily Means of NOx (mono-nitrogen oxides) in air,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/ambientNOxCH.csv
bushfire,Campbell Bushfire Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/bushfire.csv
carrots,Insect Damages on Carrots,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/carrots.csv
cloud,Cloud point of a Liquid,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/cloud.csv
coleman,Coleman Data Set,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/coleman.csv
condroz,Condroz Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/condroz.csv
cushny,Cushny and Peebles Prolongation of Sleep Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/cushny.csv
delivery,Delivery Time Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/delivery.csv
education,Education Expenditure Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/education.csv
epilepsy,Epilepsy Attacks Data Set,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/epilepsy.csv
exAM,Example Data of Antille and May - for Simple Regression,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/exAM.csv
foodstamp,Food Stamp Program Participation,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/foodstamp.csv
hbk,"Hawkins, Bradu, Kass's Artificial Data",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/hbk.csv
heart,Heart Catherization Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/heart.csv
kootenay,Waterflow Measurements of Kootenay River in Libby and Newgate,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/kootenay.csv
lactic,Lactic Acid Concentration Measurement Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/lactic.csv
milk,Daudin's Milk Composition Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/milk.csv
pension,Pension Funds Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/pension.csv
phosphor,Phosphorus Content Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/phosphor.csv
pilot,Pilot-Plant Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/pilot.csv
possumDiv,Possum Diversity Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/possumDiv.csv
pulpfiber,Pulp Fiber and Paper Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/pulpfiber.csv
radarImage,Satellite Radar Image Data from near Munich,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/radarImage.csv
salinity,Salinity Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/salinity.csv
